<<<<<<< HEAD
93 92 62 64 40 89 87 31 05 17
81 86 76 19 56 20 57 04 81 43
02 59 36 57 43 41 74 03 26 69
10 03 94 36 37 91 74 28 39 67
97 49 61 05 21 95 07 20 05 57
00 86 30 37 12 57 71 06 73 52
51 72 53 40 16 22 17 99 38 76
48 35 95 06 20 81 87 98 57 88
96 28 60 80 13 87 86 97 99 61
73 30 20 16 47 11 62 68 90 40
20 80 84 34 54 97 19 85 28 70
70 15 41 98 52 56 88 17 87 43
63 89 95 88 53 11 59 19 29 28
23 02 74 22 66 22 16 29 24 03
19 22 82 00 80 06 57 28 84 76
66 87 16 86 37 39 37 48 15 85
77 88 53 47 59 72 23 86 33 45
56 28 85 09 11 31 79 94 36 94
56 49 98 34 45 97 84 00 34 81
84 36 63 16 54 46 89 01 24 43
=======
25 00 54 25 19 25 81 21 02 78
19 09 89 77 80 75 91 34 61 24
36 42 65 18 81 93 72 34 59 37
10 56 17 24 47 02 35 45 19 51
26 28 10 23 03 32 65 61 28 95
66 63 94 42 77 64 56 80 63 14
77 07 34 93 04 19 10 44 76 19
86 18 40 47 13 94 98 22 79 94
68 37 41 12 06 85 51 85 60 56
03 98 29 05 60 15 98 86 04 61
77 51 28 24 77 02 36 64 32 05
30 73 12 75 14 85 72 60 91 42
83 46 03 67 90 48 04 74 41 52
62 30 46 71 41 38 80 60 99 05
19 48 83 98 11 30 41 72 09 31
31 44 21 79 68 97 32 13 62 80
61 69 82 25 62 12 83 35 56 19
62 74 67 19 41 35 38 16 09 80
47 44 85 30 84 53 28 42 07 65
99 30 00 91 26 09 91 70 21 14
>>>>>>> 8d9a0d5 (et)
